product_name, shipping
GIGABYTE,GIGABYTE GeForce GTX 1050 Ti DirectX 12 GV-N105TWF2OC-4GD Video Card,$4.99 Shipping
ASUS,ASUS ROG GeForce GTX 1070 STRIX-GTX1070-O8G-GAMING Video Card with RGB Lighting,$3.99 Shipping
MSI,MSI GeForce GTX 1070 DirectX 12 GeForce GTX 1070 Quick Silver 8G OC Video Card,$3.99 Shipping
ZOTAC,ZOTAC GeForce GTX 1080 Ti AMP Edition 11GB GDDR5X 352-bit Gaming Graphics Card VR Ready 16+2 Power Phase Freeze Fan Stop IceStorm Cooling Spectra Lighting ZT-P10810D-10P,$4.99 Shipping
EVGA,EVGA GeForce GTX 1070 FTW GAMING ACX 3.0/ 08G-P4-6276-KR/ 8GB GDDR5/ RGB LED/ 10CM FAN/ 10 Power Phases/ Double BIOS/ DX12 OSD Support (PXOC),Free Shipping
GIGABYTE,GIGABYTE Radeon RX 460 WINDFORCE OC 2GB GV-RX460WF2OC-2GD,$3.99 Shipping
MSI,MSI Radeon RX 550 DirectX 12 RX 550 AERO ITX 2G O 2GB 128-Bit GDDR5 PCI Express x16 (uses x8) HDCP Ready Video Card,$3.99 Shipping
ZOTAC,ZOTAC GeForce GTX 1080 Ti AMP Extreme 11GB GDDR5X 352-bit Gaming Graphics Card VR Ready 16+2 Power Phase Freeze Fan Stop IceStorm Cooling Spectra Lighting ZT-P10810C-10P,$4.99 Shipping
ASUS,ASUS GeForce GTX 1060 DUAL-GTX1060-O6G Video Card,Free Shipping
EVGA,EVGA GeForce GTX 1050 Ti GAMING/ 04G-P4-6251-KR/ 4GB GDDR5/ DX12 OSD Support (PXOC),Free Shipping
GIGABYTE,GIGABYTE GeForce GTX 1080 Ti FE DirectX 12 GV-N108TD5X-B Video Card,$4.99 Shipping
GIGABYTE,GIGABYTE GeForce GTX 1080 DirectX 12 GV-N1080WF3OC-8GD Video Card,$4.99 Shipping
